Timestamp,Peak
2022-09-13 11:11:27.892,-77.67
2022-09-13 11:11:28.393,-77.75
2022-09-13 11:11:28.893,-77.82
2022-09-13 11:11:29.394,-77.21
2022-09-13 11:11:29.894,-77.39
2022-09-13 11:11:30.395,-77.41
2022-09-13 11:11:30.895,-77.83
2022-09-13 11:11:31.395,-76.56
2022-09-13 11:11:31.896,-77.63
2022-09-13 11:11:32.396,-77.42
2022-09-13 11:11:32.896,-77.61
2022-09-13 11:11:33.397,-77.94
2022-09-13 11:11:33.897,-77.66
2022-09-13 11:11:34.398,-77.89
2022-09-13 11:11:34.898,-77.8
2022-09-13 11:11:35.399,-77.45
2022-09-13 11:11:35.899,-78.02
2022-09-13 11:11:36.399,-77.42
2022-09-13 11:11:36.900,-77.54
2022-09-13 11:11:37.400,-77.95
2022-09-13 11:11:37.900,-77.9
2022-09-13 11:11:38.401,-78.02
2022-09-13 11:11:38.901,-77.48
2022-09-13 11:11:39.402,-77.69
2022-09-13 11:11:39.902,-77.41
2022-09-13 11:11:40.403,-77.87
2022-09-13 11:11:40.902,-77.36
2022-09-13 11:11:41.403,-77.55
2022-09-13 11:11:41.903,-77.68
2022-09-13 11:11:42.404,-77.71
2022-09-13 11:11:42.905,-77.52
2022-09-13 11:11:43.405,-77.37
2022-09-13 11:11:43.905,-78.08
2022-09-13 11:11:44.406,-77.81
2022-09-13 11:11:44.907,-77.61
2022-09-13 11:11:45.406,-77.43
2022-09-13 11:11:45.906,-77.93
2022-09-13 11:11:46.407,-78.06
2022-09-13 11:11:46.907,-77.55
2022-09-13 11:11:47.408,-77.81
2022-09-13 11:11:47.908,-77.66
2022-09-13 11:11:48.409,-77.66
2022-09-13 11:11:48.908,-77.72
2022-09-13 11:11:49.409,-77.44
2022-09-13 11:11:49.909,-77.57
2022-09-13 11:11:50.410,-77.74
2022-09-13 11:11:50.910,-77.61
2022-09-13 11:11:51.410,-77.85
2022-09-13 11:11:51.913,-77.71
2022-09-13 11:11:52.411,-77.48
2022-09-13 11:11:52.912,-77.72
2022-09-13 11:11:53.412,-77.86
2022-09-13 11:11:53.913,-77.3
2022-09-13 11:11:54.413,-77.8
2022-09-13 11:11:54.914,-77.95
2022-09-13 11:11:55.419,-77.76
2022-09-13 11:11:55.922,-77.6
2022-09-13 11:11:56.425,-77.94
2022-09-13 11:11:56.927,-77.81
2022-09-13 11:11:57.427,-77.41
2022-09-13 11:11:57.929,-77.93
2022-09-13 11:11:58.431,-77.55
2022-09-13 11:11:58.933,-77.8
2022-09-13 11:11:59.433,-77.37
2022-09-13 11:11:59.935,-77.52
2022-09-13 11:12:00.437,-77.88
2022-09-13 11:12:00.938,-77.84
2022-09-13 11:12:01.439,-77.13
2022-09-13 11:12:01.940,-77.75
2022-09-13 11:12:02.440,-77.64
2022-09-13 11:12:02.941,-77.97
2022-09-13 11:12:03.442,-77.99
2022-09-13 11:12:03.944,-77.42
2022-09-13 11:12:04.445,-77.56
2022-09-13 11:12:04.946,-77.4
2022-09-13 11:12:05.447,-77.7
2022-09-13 11:12:05.948,-78.03
2022-09-13 11:12:06.449,-78.08
2022-09-13 11:12:06.950,-77.46
2022-09-13 11:12:07.451,-77.73
2022-09-13 11:12:07.951,-77.61
2022-09-13 11:12:08.452,-77.69
2022-09-13 11:12:08.953,-77.43
2022-09-13 11:12:09.453,-77.08
2022-09-13 11:12:09.954,-77.72
2022-09-13 11:12:10.455,-77.85
2022-09-13 11:12:10.956,-77.92
2022-09-13 11:12:11.456,-78.06
2022-09-13 11:12:11.957,-77.64
2022-09-13 11:12:12.457,-77.77
2022-09-13 11:12:12.958,-77.42
2022-09-13 11:12:13.459,-78.03
2022-09-13 11:12:13.960,-77.68
2022-09-13 11:12:14.461,-77.8
2022-09-13 11:12:14.961,-77.73
2022-09-13 11:12:15.462,-77.86
2022-09-13 11:12:15.962,-78.01
2022-09-13 11:12:16.463,-77.84
2022-09-13 11:12:16.963,-77.56
2022-09-13 11:12:17.464,-77.87
2022-09-13 11:12:17.965,-77.44
2022-09-13 11:12:18.466,-77.72
2022-09-13 11:12:18.966,-77.73
2022-09-13 11:12:19.467,-77.75
2022-09-13 11:12:19.967,-77.55
2022-09-13 11:12:20.468,-77.73
2022-09-13 11:12:20.968,-77.47
2022-09-13 11:12:21.469,-77.75
2022-09-13 11:12:21.969,-77.78
2022-09-13 11:12:22.470,-77.95
2022-09-13 11:12:22.970,-77.67
2022-09-13 11:12:23.471,-77.58
2022-09-13 11:12:23.971,-77.48
2022-09-13 11:12:24.472,-77.6
2022-09-13 11:12:24.973,-77.36
2022-09-13 11:12:25.473,-77.87
2022-09-13 11:12:25.974,-77.47
2022-09-13 11:12:26.474,-77.28
2022-09-13 11:12:26.975,-78.07
2022-09-13 11:12:27.475,-77.67
2022-09-13 11:12:27.977,-77.61
2022-09-13 11:12:28.477,-77.66
2022-09-13 11:12:28.977,-77.66
2022-09-13 11:12:29.478,-77.87
2022-09-13 11:12:29.979,-77.21
2022-09-13 11:12:30.479,-46.18
2022-09-13 11:12:30.979,-37.12
2022-09-13 11:12:31.480,-40.7
2022-09-13 11:12:31.980,-39.59
2022-09-13 11:12:32.481,-40.14
2022-09-13 11:12:32.981,-39.94
2022-09-13 11:12:33.481,-77.69
2022-09-13 11:12:33.982,-77.74
2022-09-13 11:12:34.482,-77.56
2022-09-13 11:12:34.985,-77.88
2022-09-13 11:12:35.483,-77.8
2022-09-13 11:12:35.983,-77.57
2022-09-13 11:12:36.483,-77.54
2022-09-13 11:12:36.984,-77.66
2022-09-13 11:12:37.484,-77.86
2022-09-13 11:12:37.985,-77.49
2022-09-13 11:12:38.485,-44.44
2022-09-13 11:12:38.985,-55.49
2022-09-13 11:12:39.485,-78.21
2022-09-13 11:12:39.986,-77.74
2022-09-13 11:12:40.486,-77.54
2022-09-13 11:12:40.987,-77.36
2022-09-13 11:12:41.487,-77.86
2022-09-13 11:12:41.987,-77.7
2022-09-13 11:12:42.488,-77.73
2022-09-13 11:12:42.988,-77.51
2022-09-13 11:12:43.488,-77.69
2022-09-13 11:12:43.989,-77.9
2022-09-13 11:12:44.489,-77.78
2022-09-13 11:12:44.990,-77.98
2022-09-13 11:12:45.490,-77.38
2022-09-13 11:12:45.991,-77.54
2022-09-13 11:12:46.491,-77.79
2022-09-13 11:12:46.991,-77.55
2022-09-13 11:12:47.491,-77.76
2022-09-13 11:12:47.992,-77.83
